ZIPCODE	GENDER_FEMALE	GENDER_MALE	GROUP_SIZE_CAT	AGE_CAT	AGE_T1	AGE_T2	BMI_T1	WEIGHT_T1	HIP_T1	HEIGHT_T1	WAIST_T1	BMI_T2	WEIGHT_T2	HIP_T2	HEIGHT_T2	WAIST_T2	EDUCATION_LOWER_T1	EDUCATION_LOWER_T2	WORK_T1	WORK_T2	LOW_QUALITY_OF_LIFE_T1	LOW_QUALITY_OF_LIFE_T2	DBP_T1	DBP_T2	HBF_T1	HBF_T2	MAP_T1	MAP_T2	SBP_T1	SBP_T2	HTN_MED_T1	CHO_T1	GLU_T1	CHO_T2	GLU_T2	RESPIRATORY_DISEASE_T1	PACKYEARS	SMOKING	METABOLIC_DISORDER_T1	METABOLIC_DISORDER_T2	LLDS	Quintile_LLDS	ALCOHOL_INTAKE_T1	KCAL_INTAKE_T1	MWK_VAL	SCOR_VAL	MWK_NO_VAL	SCOR_NO_VAL	SPORTS_T1	CYCLE_COMMUTE_T1	VOLUNTEER_T1	PREGNANCIES	OSTEOARTHRITIS_T1	DIAG_CFS_CDC	DIAG_FIBROMYALGIA_ACR	DIAG_IBS_ROME3	C_SUM_T1	A_SUM_T1	SC_SUM_T1	I_SUM_T1	E_SUM_T1	SD_SUM_T1	V_SUM_T1	D_SUM_T1	LTE_SUM_T1	LDI_SUM_T1	LTE_SUM_T2	LDI_SUM_T2	NSES_YEAR	MENTAL_DISORDER_T1	MENTAL_DISORDER_T2
7701	55.26	44.74	1	9	47.3	54.89	26.05	79.56	99.51	174.69	90.75	26.66	81.0	100.25	174.26	92.58	42.67	44.12	61.33	67.65	4.0	11.76	74.05	78.06	70.88	69.47	93.99	100.42	125.97	137.42	11.84	5.32	5.13	5.32	5.23	9.33	6.78	16.22	4.0	4.0	23.84	2.93	7.86	1936.13	516.65	2710.35	302.68	1640.49	60.56	29.03	36.73	2.32	13.16	3.23	6.45	9.68	30.04	18.69	18.87	21.73	22.45	30.16	17.91	28.51	1.12	2.07	0.71	1.77	2009.84	2.9	3.23
7741	57.74	42.26	8	8	43.07	46.61	26.25	79.55	100.12	173.63	91.97	26.33	80.05	99.7	174.06	91.12	37.77	35.63	73.14	78.35	10.85	13.11	75.45	75.35	70.86	69.02	94.76	95.51	127.89	130.26	14.59	5.12	5.01	5.08	5.1	10.32	7.58	27.04	2.89	3.9	23.45	2.89	7.33	1998.39	508.4	2664.04	258.32	1413.65	53.26	35.67	26.5	2.0	7.78	3.45	8.81	5.15	29.44	19.02	19.88	22.5	22.82	28.9	18.48	27.83	1.24	2.45	0.78	1.92	2009.99	2.18	1.79
7742	58.94	41.06	6	8	42.33	45.44	26.47	80.94	100.85	174.34	92.45	26.43	81.26	100.39	175.03	91.17	30.09	24.87	77.44	76.72	11.6	11.84	74.6	75.18	69.95	68.2	94.1	95.25	127.09	129.17	12.01	5.02	5.04	5.0	5.12	9.28	5.97	19.19	3.38	4.58	23.68	2.91	7.19	2064.69	487.85	2579.85	278.97	1535.42	61.11	38.22	28.05	1.85	6.16	2.75	5.34	6.61	29.88	18.76	19.61	22.41	23.01	29.34	18.05	28.4	1.03	2.46	0.69	2.01	2009.99	1.91	2.43
7751	55.13	44.87	5	8	44.51	48.02	26.01	80.46	100.17	175.52	91.08	25.97	80.14	99.32	175.44	90.22	20.83	21.88	78.38	79.08	8.4	13.07	75.03	74.6	69.64	67.73	94.59	95.19	128.02	129.77	10.41	5.15	4.99	5.18	5.0	9.73	5.77	19.81	2.63	3.38	24.27	3.02	6.32	2039.78	326.96	1752.39	255.56	1395.38	58.28	27.29	35.62	2.2	6.24	2.37	4.82	4.45	29.86	18.68	19.23	22.21	22.88	29.4	17.84	28.42	1.01	2.2	0.55	1.73	2009.99	1.2	1.28
7755	59.65	40.35	1	8	42.32	45.54	25.87	78.49	99.21	173.6	89.54	25.95	78.55	98.27	173.63	89.96	32.73	27.03	77.78	78.38	11.11	8.11	76.09	75.04	70.11	69.41	94.93	94.09	127.05	126.5	8.93	5.12	5.05	5.03	5.1	1.85	5.34	15.69	1.82	5.45	24.17	3.1	12.07	1945.8	338.53	1745.84	250.61	1306.24	61.22	21.74	37.84	2.16	8.77	2.94	6.06	2.94	29.18	18.9	20.1	23.41	22.61	29.26	19.14	27.48	0.94	2.15	0.61	1.86	2009.93	0.26	2.32
7761	57.94	42.06	5	8	42.04	45.27	26.69	81.26	101.06	174.22	92.42	26.76	81.83	100.46	174.83	91.76	31.95	32.15	76.21	79.35	7.82	10.95	74.75	74.08	71.24	68.68	94.18	94.07	127.27	127.44	9.81	5.02	5.06	4.97	5.13	8.38	5.73	21.58	3.9	4.82	23.04	2.8	6.84	2014.56	456.51	2384.7	219.11	1197.72	51.35	24.51	31.81	1.98	3.99	2.8	6.52	3.4	29.78	18.61	19.56	22.57	22.68	29.17	18.04	27.9	1.14	2.31	0.67	1.94	2009.98	1.41	1.91
7764	52.5	47.5	1	8	41.6	47.08	28.14	85.94	102.44	174.69	94.5	28.16	85.75	102.23	174.48	95.81	38.96	38.89	72.37	70.37	14.47	14.81	76.91	76.78	72.34	72.48	97.03	97.27	131.3	132.73	15.38	5.2	5.23	5.08	5.42	6.58	6.75	22.67	10.0	10.0	21.52	2.43	5.97	1991.27	488.54	2539.5	213.07	1162.14	48.57	25.76	28.57	1.58	3.75	4.26	8.7	0.0	28.77	19.93	20.56	23.28	23.5	29.04	18.93	27.27	1.04	2.51	0.75	1.83	2010.0	2.63	2.8
7765	55.81	44.19	2	8	43.96	47.67	27.31	83.44	102.03	174.49	94.61	27.73	83.95	102.1	173.69	94.59	47.35	49.13	67.72	72.99	17.97	18.86	75.81	74.7	71.4	68.81	95.78	95.44	130.37	130.63	11.15	4.94	5.01	4.87	5.13	9.49	7.3	22.14	3.4	4.91	23.6	2.9	8.82	1959.01	320.28	1702.39	241.76	1309.8	43.83	20.48	29.09	2.1	9.77	9.49	13.64	2.53	29.17	19.44	20.25	22.38	22.95	29.41	18.56	28.27	1.3	2.12	0.61	1.5	2009.97	2.39	2.0
7766	55.66	44.34	2	8	42.73	45.13	26.6	81.95	100.43	175.34	93.6	26.76	82.8	100.74	175.76	92.55	30.29	31.3	82.0	81.4	9.41	8.4	76.11	75.16	70.35	68.19	95.58	95.52	129.07	130.27	12.98	4.92	4.99	4.81	5.07	4.95	4.76	12.2	2.38	3.81	23.02	2.77	5.61	1888.36	307.84	1601.02	226.09	1192.26	49.74	17.61	50.0	2.0	7.58	1.63	6.56	4.88	29.47	19.07	20.4	22.14	23.33	29.25	18.2	28.22	0.97	1.91	0.73	1.79	2009.94	1.71	1.38
7811	58.43	41.57	2	10	51.05	54.66	26.25	78.72	99.74	172.97	92.51	26.83	81.16	101.1	173.8	93.91	42.19	44.27	56.3	52.58	16.18	19.59	74.8	74.96	71.23	70.1	95.26	96.81	129.69	134.31	19.7	5.25	5.24	5.24	5.45	8.75	8.84	21.69	5.75	7.66	25.1	3.16	7.08	1787.84	402.52	2114.23	277.11	1487.19	49.77	41.05	21.2	1.81	11.65	5.49	6.78	7.14	30.02	18.02	19.16	21.73	22.6	29.72	17.85	28.35	1.13	2.08	0.8	1.56	2009.33	2.08	1.62
